faro,4,"[""faro_ls""]"
lulusoftware,4,"[""soda_pdf""]"
quest,4,"[""toad_data_modeler"",""toad_for_oracle""]"
blender,4,"[""blender""]"
samsung,4,"[""magician"",""samsung_monsetup""]"
slack,4,"[""slack""]"
kyocera,4,"[""product_library""]"
dolby,4,"[""dolby_audio_x2""]"
huawei,4,"[""mobile_broadband_hl_service"",""hisuite""]"
lenovo,3,"[""lenovo_service_bridge"",""lenovo_system_update"",""active_protection_system""]"
brave,3,"[""brave""]"
acronis,3,"[""snapapi"",""cyber_protect""]"
rarlab,3,"[""winrar""]"
acrosoftware,3,"[""cutepdf_writer""]"
winmerge,3,"[""winmerge""]"
sony,3,"[""catalyst_browse"",""playmemories_home""]"
wibu,3,"[""codemeter_runtime""]"
idm_computer_solutions,3,"[""ultraedit""]"
postman,3,"[""postman""]"
activestate,3,"[""activeperl""]"
safenet,3,"[""sentinel_hasp_run-time"",""sentinel_protection_installer""]"
nero,3,"[""controlcenter"",""mediahome"",""neroxml""]"
schneider-electric,2,"[""scada_expert_clearscada"",""citectscada""]"
devolutions,2,"[""remote_desktop_manager""]"
telerik,2,"[""fiddler""]"
nextcloud,2,"[""nextcloud""]"
royal_apps,2,"[""royal_ts""]"
codesector,2,"[""teracopy""]"
sqlite_manager,2,"[""sqlite""]"
meltytech,2,"[""shotcut""]"
pulsesecure,2,"[""pulse_secure""]"
preemptive_solutions,2,"[""dotfuscator""]"
cpuid,2,"[""cpu-z""]"
prezi,2,"[""next""]"
zebra_technologies,2,"[""setup_utilities""]"
plotsoft,2,"[""pdfill_pdf_editor""]"
ghisler,2,"[""total_commander""]"
conexant,2,"[""mictray64""]"
calibre-ebook,2,"[""calibre""]"
nullsoft,2,"[""winamp""]"
chromium,1,"[""chromium""]"
sybase,1,"[""adaptive_server_anywhere""]"
sleuth_kit,1,"[""autopsy""]"
libreoffice,1,"[""libreoffice""]"
avery,1,"[""avery_wizard""]"
mindjet,1,"[""mindmanager""]"
realvnc,1,"[""realvnc""]"
lazarus,1,"[""lazarus""]"
evga,1,"[""precision_x1""]"
honeywell,1,"[""enterprise_buildings_integrator""]"
avast,1,"[""premium_security"",""secureline_vpn""]"
plantronics,1,"[""plantronics_hub""]"
gpg4win,1,"[""gpg4win""]"
collabnet,1,"[""subversion""]"
librecad,1,"[""librecad""]"
mathworks,1,"[""matlab""]"
acd_systems,1,"[""acdsee_ultimate""]"
msi,1,"[""afterburner""]"
foxit,1,"[""pdf_reader""]"
hashicorp,1,"[""vagrant""]"
jamovi,1,"[""jamovi""]"
imgburn,1,"[""imgburn""]"
vodafone,1,"[""vodafone_mobile_connect_lite""]"
ringcentral,1,"[""ringcentral""]"
brio,1,"[""folder_size_for_windows""]"
solarwinds,1,"[""netflow_realtime""]"
flexense,1,"[""sysgauge""]"
tigris,1,"[""tortoisesvn""]"
netbeans,1,"[""netbeans_ide""]"
usbpcap_project,1,"[""usbpcap""]"
asus,1,"[""atk_package"",""device_activation""]"
opera,1,"[""opera_browser""]"
belarc,1,"[""advisor""]"
wondershare,1,"[""dr.fone""]"
xnview,1,"[""xnview""]"
two_pilots,1,"[""exif_pilot""]"
chromium_project,1,"[""chromium""]"
pdfedit,1,"[""pdfedit""]"
netscape,1,"[""navigator""]"
teklynx,1,"[""label_matrix""]"
